metric,mean,std,median,min,max,n
raw_bump_in_mae,1.586262059738806,0.0,1.586262059738806,1.586262059738806,1.586262059738806,1
raw_outside_far,1.0,0.0,1.0,1.0,1.0,1
raw_outside_mean_d_hat,2.257555813883648,0.0,2.257555813883648,2.257555813883648,2.257555813883648,1
raw_peak_time_error,65.57142857142857,0.0,65.57142857142857,65.57142857142857,65.57142857142857,1
raw_peak_value_error,1.792387014285714,0.0,1.792387014285714,1.792387014285714,1.792387014285714,1
raw_shape_corr,0.1291251314545167,0.0,0.1291251314545167,0.1291251314545167,0.1291251314545167,1
q40_bump_in_mae,1.5274131408863938,0.0,1.5274131408863938,1.5274131408863938,1.5274131408863938,1
q40_outside_far,0.3757861635220126,0.0,0.3757861635220126,0.3757861635220126,0.3757861635220126,1
q40_outside_mean_d_hat,1.040741484788534,0.0,1.040741484788534,1.040741484788534,1.040741484788534,1
q40_peak_time_error,56.57142857142857,0.0,56.57142857142857,56.57142857142857,56.57142857142857,1
q40_peak_value_error,1.0347930639221854,0.0,1.0347930639221854,1.0347930639221854,1.0347930639221854,1
q40_shape_corr,0.0431272577145889,0.0,0.0431272577145889,0.0431272577145889,0.0431272577145889,1
r46b_bump_in_mae,1.5289056781998265,0.0,1.5289056781998265,1.5289056781998265,1.5289056781998265,1
r46b_outside_far,0.3757861635220126,0.0,0.3757861635220126,0.3757861635220126,0.3757861635220126,1
r46b_outside_mean_d_hat,1.040741484788534,0.0,1.040741484788534,1.040741484788534,1.040741484788534,1
r46b_peak_time_error,57.142857142857146,0.0,57.142857142857146,57.142857142857146,57.142857142857146,1
r46b_peak_value_error,1.0347930639221854,0.0,1.0347930639221854,1.0347930639221854,1.0347930639221854,1
r46b_shape_corr,0.0120077835425688,0.0,0.0120077835425688,0.0120077835425688,0.0120077835425688,1
r46b_theta_drop,0.5,0.0,0.5,0.5,0.5,1
q40_eval_recall,0.6156716417910447,0.0,0.6156716417910447,0.6156716417910447,0.6156716417910447,1
r46b_eval_recall,0.6149253731343284,0.0,0.6149253731343284,0.6149253731343284,0.6149253731343284,1
q40_eval_far,0.3757861635220126,0.0,0.3757861635220126,0.3757861635220126,0.3757861635220126,1
r46b_eval_far,0.3757861635220126,0.0,0.3757861635220126,0.3757861635220126,0.3757861635220126,1
dropped_positive_strong,0.0,0.0,0.0,0.0,0.0,1
dropped_positive_weak,1.0,0.0,1.0,1.0,1.0,1
dropped_false_positive_strong,0.0,0.0,0.0,0.0,0.0,1
dropped_false_positive_weak,0.0,0.0,0.0,0.0,0.0,1
r46b_minus_q40_outside_far,0.0,0.0,0.0,0.0,0.0,1
r46b_minus_q40_bump_in_mae,0.0014925373134326847,0.0,0.0014925373134326847,0.0014925373134326847,0.0014925373134326847,1
r46b_minus_q40_shape_corr,-0.031119474172020097,0.0,-0.031119474172020097,-0.031119474172020097,-0.031119474172020097,1
